First Author,Last Author,Title,Journal,ISSN,Yr of Publication,Yr of Retraction,Months to Retraction,PMID,Impact Factor,"5-year Impact Factor, year of publication; bold = 1-year IF; used 1999 IF for papers before 1999","Grant number(total grant size, #papers citing)","Grants, duplicates removed",Attributable $,"Attributable $, 2012 dollars","Total for all cited grants, non-duplicate grants","Total for all cited grants, non-duplicate grants, 2012 dollars","All NIH, all accounted for in ExPORTER?"
Radhakrishnan S,Pease LR,"Induction of a Th1 response from Th2-polarized T cells by activated dendritic cells: dependence on TCR:peptide-MHC interaction, ICAM-1, IL-12, and IFN-gamma.",J Immunol,0022-1767,2007,2010,39,17339455,5.859,6.277,"CA96859(766500,8) CA104996(2157672,18) HL077296(1457594,5) DK64194(599130,2)","DK64194(599130,2)",806766.9667,893349.42,599130,663428.8,Y
Radhakrishnan S,Pease LR,B7-DC/PD-L2 cross-linking induces NF-kappaB-dependent protection of dendritic cells from cell death.,J Immunol,0022-1767,2007,2010,40,17237390,5.859,6.277,no grants cited,no grants cited,0,0,0,0,
Radhakrishnan S,Pease LR,Dendritic cells activated by cross-linking B7-DC (PD-L2) block inflammatory airway disease.,J Allergy Clin Immunol,0091-6749,2005,2010,56,16159641,9.712,2.402,"AI49235(4808376,31)","AI49235(4808376,31)",155108.9032,182345.48,4808376,5652710.08,Y
Radhakrishnan S,Pease LR,B7-DC cross-linking restores antigen uptake and augments antigen-presenting cell function by matured dendritic cells.,Proc Natl Acad Sci U S A,0027-8424,2005,2010,57,16061819,10.472,10.231,"P50CA91956(23421310,185) CA103921(1249045,23) CA80782(2800578,37) CA096859(766500,8) CA104996(2157672,18)","P50CA91956(23421310,185) CA103921(1249045,23) CA80782(2800578,37)",472282.444,555213.59,27470933,32294733,Y
Radhakrishnan S,Pease LR,Blockade of allergic airway inflammation following systemic treatment with a B7-dendritic cell (PD-L2) cross-linking human antibody.,J Immunol,0022-1767,2004,2010,71,15240731,5.859,6.486,Grant from Ralph C. Wilson Jr. and Sr. foundation,Grant from Ralph C. Wilson Jr. and Sr. foundation,0,0,0,0,
Radhakrishnan S,Pease LR,Immunotherapeutic potential of B7-DC (PD-L2) cross-linking antibody in conferring antitumor immunity.,Cancer Res,0008-5472,2004,2010,76,15256470,8.164,7.69,Grant from Ralph C. Wilson Jr. and Sr. foundation,Grant from Ralph C. Wilson Jr. and Sr. foundation,0,0,0,0,
Radhakrishnan S,Pease LR,Naturally occurring human IgM antibody that binds B7-DC and potentiates T cell stimulation by dendritic cells.,J Immunol,0022-1767,2003,2010,88,12574348,5.859,6.702,"CA62242(17280920,339) and Ralph C. Wilson Jr. and Sr. Foundations","CA62242(17280920,339) and Ralph C. Wilson Jr. and Sr. Foundations",50976.16519,63607.73,17280920,21563019,
Rakoff-Nahoum S,Sperber K,Regulation of class II expression in monocytic cells after HIV-1 infection,J Immunol,0022-1767,2001,2006,63,11490022,5.859,7.065,"CAR-29-256990(?,2) AI44236(16256292,100) AI45343(1755991,11) RR09145-01(249000,157) and the Irma T. Hirschl Career Development Trust and National Science Foundation Major Research Instrumentation Grant DB1-9724504","CAR-29-256990(?,2) and the Irma T. Hirschl Career Development Trust and National Science Foundation Major Research Instrumentation Grant DB1-9724504",323784.4527,419757.01,0,0,
Ramalingam TS,Bjorkman PJ,IgG transcytosis and recycling by FcRn expressed in MDCK cells reveals ligand-induced redistribution,EMBO J,0261-4189,2002,2002,9,11847107,8.833,10.698,"GM41239(2797128,37) and the W.M.Keck Foundation Fund for Discovery in Basic Medical Research","GM41239(2797128,37) and the W.M.Keck Foundation Fund for Discovery in Basic Medical Research",75598.05405,96480.59,2797128,3569782.13,
Ramalingam TS,Bjorkman PJ,Binding to the transferrin receptor is required for endocytosis of HFE and regulation of iron homeostasis,Nat Cell Biol,1465-7392,2000,2003,31,11146662,20.116,11.939,"DK54488(4264077,24) W. M. Keck Foundation Fund for Discovery in Basic Medical Research (to P.J.B.), and the Cancer Research Fund of the Damon Runyon-Walter Winchell Foundation (grant no. DRG-1445 to A.P.W.)","DK54488(4264077,24) W. M. Keck Foundation Fund for Discovery in Basic Medical Research (to P.J.B.), and the Cancer Research Fund of the Damon Runyon-Walter Winchell Foundation (grant no. DRG-1445 to A.P.W.)",177669.875,236886.98,4264077,5685287.43,
Reaves PY,Raizada MK,Permanent cardiovascular protection from hypertension by the AT(1) receptor antisense gene therapy in hypertensive rat offspring.,Circ Res,0009-7330,1999,2004,50,10559146,10.037,8.281,"HL52189(927423,25) HL56921(9953331,57) and AHA postdoctoral fellowships",and AHA postdoctoral fellowships,211716.7621,291770.09,0,0,
Reddy MA,Natarajan R,Role of the lysine-specific demethylase 1 in the proinflammatory phenotype of vascular smooth muscle cells of diabetic mice,Circ Res,0009-7330,2008,2009,12,18688044,10.037,10.445,NIH grants not specified and predoctoral fellowship from Myrtle Carr Foundation and Junior Faculty Award from American Diabetes Association,NIH grants not specified and predoctoral fellowship from Myrtle Carr Foundation and Junior Faculty Award from American Diabetes Association,0,0,0,0,
Reese EL,Haimo LT,"Dynein, dynactin, and kinesin II's interaction with microtubules is regulated during bidirectional organelle transport",J Cell Biol,0021-9525,2000,2003,28,11018061,9.947,13.955,National Science Foundation grants MCB 94-05763 and MCB 97-27728,National Science Foundation grants MCB 94-05763 and MCB 97-27728,0,0,0,0,
Reuben SS,Kroin JS,A prospective randomized trial on the role of perioperative celecoxib administration for total knee arthroplasty: improving clinical outcomes,Anesth Analg,0003-2999,2008,2009,12,18349203,3.069,2.439,funding from Pfizer and institution,funding from Pfizer and institution,0,0,0,0,
Reuben SS,Charron D,Evaluating the analgesic efficacy of administering celecoxib as a component of multimodal analgesia for outpatient anterior cruciate ligament reconstruction surgery,Anesth Analg,0003-2999,2007,2009,21,17578978,3.069,2.144,funding from Pfizer and institution,funding from Pfizer and institution,0,0,0,0,
Reuben SS,Ekman EF,The effect of initiating a preventive multimodal analgesic regimen on long-term patient outcomes for outpatient anterior cruciate ligament reconstruction surgery,Anesth Analg,0003-2999,2007,2009,21,17578979,3.069,2.144,funding from Pfizer and institution,funding from Pfizer and institution,0,0,0,0,
Reuben SS,Buvanendran A,Preventing the development of chronic pain after orthopaedic surgery with preventive multimodal analgesic techniques,J Bone Joint Surg Am,0021-9355,2007,2009,22,17545440,4.289,1.493,no grants cited,no grants cited,0,0,0,0,
Reuben SS,Raghunathan K,"The analgesic efficacy of celecoxib, pregabalin, and their combination for spinal fusion surgery",Anesth Analg,0003-2999,2006,2009,29,17056968,3.069,2.131,no grants cited,grants not cited,0,0,0,0,
Reuben SS,Steinberg RB,Postoperative modulation of central nervous system prostaglandin E2 by cyclooxygenase inhibitors after vascular surgery,Anesthesiology,0003-3022,2006,2009,36,16508386,5.19,4.207,solely institutional,solely institutional,0,0,0,0,
Reuben SS,Wenner S,The incidence of complex regional pain syndrome after fasciectomy for Dupuytren's contracture: a prospective observational study of four anesthetic techniques,Anesth Analg,0003-2999,2006,2009,38,16428550,3.069,2.131,grants not cited,grants not cited,0,0,0,0,
Reuben SS,Adesioye J,The effect of cyclooxygenase-2 inhibition on acute and chronic donor-site pain after spinal-fusion surgery,Reg Anesth Pain Med,1098-7339,2006,2009,38,16418018,3.479,2.056,institutional and Pfizer,institutional and Pfizer,0,0,0,0,
Reuben SS,Ekman EF,The effect of cyclooxygenase-2 inhibition on analgesia and spinal fusion,J Bone Joint Surg Am,0021-9355,2005,2009,49,15741619,4.289,2.339,Pfizer and not otherwise specified,Pfizer and not otherwise specified,0,0,0,0,
Reuben SS,Kilaru PA,Surgery on the affected upper extremity of patients with a history of complex regional pain syndrome: the use of intravenous regional anesthesia with clonidine,J Clin Anesth,0952-8180,2004,2009,54,15590255,1.354,1.208,no grants cited,no grants cited,0,0,0,0,
Reuben SS,Lurie SD,Evaluation of efficacy of the perioperative administration of venlafaxine XR in the prevention of postmastectomy pain syndrome,J Pain Symptom Manage,0885-3924,2004,2009,63,15157037,3.106,2.187,Rays of Hope Foundation and Wyeth-Ayerst Labs,Rays of Hope Foundation and Wyeth-Ayerst Labs,0,0,0,0,
Reuben SS,Maciolek H,Evaluation of the safety and efficacy of the perioperative administration of rofecoxib for total knee arthroplasty.,J Arthroplasty,0883-5403,2002,2010,96,11805921,2.293,0.853,Merck,Merck,0,0,0,0,
Reuben SS,Manikantan P,An evaluation of the analgesic efficacy of intravenous regional anesthesia with lidocaine and ketorolac using a forearm versus upper arm tourniquet,Anesth Analg,0003-2999,2002,2009,80,12145071,3.069,2.332,no grants cited,no grants cited,0,0,0,0,
Reuben SS,Maciolek H,Local administration of morphine for analgesia after iliac bone graft harvest,Anesthesiology,0003-3022,2001,2009,91,11506111,5.19,3.381,solely institutional,solely institutional,0,0,0,0,
Reuben SS,Reuben JP,Brachial plexus anesthesia with verapamil and/or morphine,Anesth Analg,0003-2999,2000,2009,68,10910852,3.069,2.321,solely institutional,solely institutional,0,0,0,0,
Reuben SS,Connelly NR,Postoperative analgesic effects of celecoxib or rofecoxib after spinal fusion surgery,Anesth Analg,0003-2999,2000,2009,101,11049912,3.069,2.321,solely institutional,solely institutional,0,0,0,0,
Reuben SS,Maciolek H,Postoperative analgesia with controlled-release oxycodone for outpatient anterior cruciate ligament surgery.,Anesth Analg,0003-2999,1999,2009,118,10357331,3.069,2.509,no grants cited,no grants cited,0,0,0,0,
Reuben SS,Connelly NR,Postarthroscopic meniscus repair analgesia with intraarticular ketorolac or morphine.,Anesth Analg,0003-2999,1996,2009,155,8610863,3.069,2.509,no grants cited,no grants cited,0,0,0,0,
Revicki DA,McKenna SP,"Psychometric characteristics of the ankylosing spondylitis quality of life questionnaire, short form 36 health survey, and functional assessment of chronic illness therapy-fatigue subscale.",Health Qual Life Outcomes,1477-7525,2009,2009,9,19183482,3.192,2.456,"""withdrawn from public domain""","""withdrawn from public domain""",0,0,0,0,
Reyes M,Verfaillie CM,Purification and ex vivo expansion of postnatal human marrow mesodermal progenitor cells,Blood,0006-4971,2001,2009,88,11675329,9.785,9.273,"CA65493-01(31830904,174) F31AI/GM10291(?,1) Children's Cancer Research Fund; and the University of Minnesota Bone Marrow Transplant Research Fund; C.M.V. is a Scholar of the Leukemia Society of America","CA65493-01(31830904,174) F31AI/GM10291(?,1) Children's Cancer Research Fund; and the University of Minnesota Bone Marrow Transplant Research Fund; C.M.V. is a Scholar of the Leukemia Society of America",182936.2299,237160.14,31830904,41265864,
Richman RW,Diversé-Pierluissi MA,N-type Ca2+ channels as scaffold proteins in the assembly of signaling molecules for GABAB receptor effects.,J Biol Chem,0021-9258,2004,2011,84,15047708,5.117,6.355,"NS37443(2346515,9) and a Hirschl Trust Fund Career award",and a Hirschl Trust Fund Career award,260723.8889,316890.63,0,0,
Rooney JW,Calame KL,TIF1beta functions as a coactivator for C/EBPbeta and is required for induced differentiation in the myelomonocytic cell line U937,Genes Dev,0890-9369,2001,2002,9,11711437,12.785,20.88,"HL07343(6775993,73) GM29361(3467321,26) AI43567(596828,3)","HL07343(6775993,73) GM29361(3467321,26) AI43567(596828,3)",425122.9886,551133.19,10840142,14053256,Y
Roovers K,Assoian RK,Nuclear translocation of LIM kinase mediates Rho-Rho kinase regulation of cyclin D1 expression,Dev Cell,1534-5807,2003,2006,33,12919678,14.202,14.807,"CA72639(2353495,17) GM51878(1598985,10)","CA72639(2353495,17) GM51878(1598985,10)",298339.3824,372265.93,3952480,4931878.77,Y
Roovers K,Assoian RK,Effects of rho kinase and actin stress fibers on sustained extracellular signal-regulated kinase activity and activation of G(1) phase cyclin-dependent kinases,Mol Cell Biol,0270-7306,2003,2006,37,12773570,5.766,8.142,"CA72639(2353495,17) GM51878(1598985,10) and DAMD17-98-1-8209 from the Department of the Army",and DAMD17-98-1-8209 from the Department of the Army,298339.3824,372265.93,0,0,
Roy SN,Redman CM,Secretion of biologically active recombinant fibrinogen by yeast.,J Biol Chem,0021-9258,1995,1999,39,7559549,5.117,7.666,"HL37457(2052652,15)","HL37457(2052652,15)",136843.4667,206157.74,2052652,3092366.03,Y
Ruggiero KM,Lorenzo ML,"Now you see it, now you don't: explicit versus implicit measures of the personal/group discrimination discrepancy",Psychol Sci,not found,2000,2002,16,11202499,6.157,not found,NIH and NSF grants not specified,NIH and NSF grants not specified,0,0,0,0,
Ruggiero KM,Marx DM,Less pain and more to gain: why high-status group members blame their failure on discrimination.,J Pers Soc Psychol,not found,1999,2001,22,10531671,6.901,not found,"MH58586-01(38707,2) and William F. Milton Fund","MH58586-01(38707,2) and William F. Milton Fund",19353.5,26671.35,38707,53342.71,
Salter KH,Potti A,An integrated approach to the prediction of chemotherapeutic response in patients with breast cancer.,PLoS One,1932-6203,2008,2011,41,18382681,4.537,N/A,Funding from DoD and Jimmy V. foundation,Funding from DoD and Jimmy V. foundation,0,0,0,0,
Sawada M,Matsuyama S,Ku70 suppresses the apoptotic translocation of Bax to mitochondria,Nat Cell Biol,1465-7392,2003,2007,48,12652308,20.116,20.268,"CA78530(828927,6) and Blood Center Research Foundation, Northwest Mutual Foundation, Taiho Pharmaceutical Company Ltd.","CA78530(828927,6) and Blood Center Research Foundation, Northwest Mutual Foundation, Taiho Pharmaceutical Company Ltd.",138154.5,172388.28,828927,1034329.7,
Sawada M,Matsuyama S,Cytoprotective membrane-permeable peptides designed from the Bax-binding domain of Ku70,Nat Cell Biol,1465-7392,2003,2007,48,12652309,20.116,20.268,"Blood Center Research Foundation, Northwest Mutual Foundation, American Society of Hematology (Junior Faculty Award)","Blood Center Research Foundation, Northwest Mutual Foundation, American Society of Hematology (Junior Faculty Award)",0,0,0,0,
Schon JH,Batlogg B,Efficient organic photovoltaic diodes based on doped pentacene,Nature,0028-0836,2000,2003,38,10667788,36.235,25.814,Deutsche Forschungsgemeinschaft,Deutsche Forschungsgemeinschaft,0,0,0,0,
Schon JH,Batlogg B,An organic solid state injection laser,Science,0036-8075,2000,2002,28,10915617,32.452,23.872,Deutsche Forschungsgemeinschaft,Deutsche Forschungsgemeinschaft,0,0,0,0,
Schon JH,Batlogg B,Fractional quantum hall effect in organic molecular semiconductors,Science,0036-8075,2000,2002,29,10875912,32.452,23.872,,,0,0,0,0,
Schon JH,Batlogg B,A superconducting field-effect switch,Science,0036-8075,2000,2002,31,10784445,32.452,23.872,Deutsche Forschungsgemeinschaft,Deutsche Forschungsgemeinschaft,0,0,0,0,
Schon JH,Batlogg B,Ambipolar pentacene field-effect transistors and inverters,Science,0036-8075,2000,2002,33,10669410,32.452,23.872,Deutsche Forschungsgemeinschaft,Deutsche Forschungsgemeinschaft,0,0,0,0,
Schön JH,Lagües M,Superconductivity in CaCuO2 as a result of field-effect doping,Nature,0028-0836,2001,2003,16,11719801,36.235,27.955,no grants cited,no grants cited,0,0,0,0,
Schön JH,Bao Z,Self-assembled monolayer organic field-effect transistors,Nature,0028-0836,2001,2003,17,11607026,36.235,27.955,no grants cited,no grants cited,0,0,0,0,
Schön JH,Batlogg B,Superconductivity in single crystals of the fullerene C70,Nature,0028-0836,2001,2003,17,11677603,36.235,27.955,no grants cited,no grants cited,0,0,0,0,
Schön JH,Cavellin C,Field-induced superconductivity in a spin-ladder cuprate,Science,0036-8075,2001,2003,20,11577230,32.452,23.329,One of us (F.C.B.) would like to thank the company WINTICI for financial support,One of us (F.C.B.) would like to thank the company WINTICI for financial support,0,0,0,0,
Schön JH,Batlogg B,Gate-induced superconductivity in a solution-processed organic polymer film,Nature,0028-0836,2001,2003,24,11242074,36.235,27.955,no grants cited,no grants cited,0,0,0,0,
Schön JH,Bao Z,Field-effect modulation of the conductance of single molecules,Science,0036-8075,2001,2002,11,11701891,32.452,23.329,no grants cited,no grants cited,0,0,0,0,
Schön JH,Batlogg B,High-temperature superconductivity in lattice-expanded C60,Science,0036-8075,2001,2002,14,11533443,32.452,23.329,no grants cited,no grants cited,0,0,0,0,
Schön JH,Batlogg B,Josephson junctions with tunable weak links,Science,0036-8075,2001,2002,19,11303093,32.452,23.329,no grants cited,no grants cited,0,0,0,0,
Schön JH,Batlogg B,Universal crossover from band to hopping conduction in molecular organic semiconductors,Phys Rev Lett,0031-9007,2001,2002,20,11329338,7.013,6.668,No grants cited,No grants cited,0,0,0,0,
Schön JH,Batlogg B,Superconductivity in molecular crystals induced by charge injection,Nature,0028-0836,2000,2003,20,10963589,36.235,25.814,Deutsche Forschungsgemeinschaft,Deutsche Forschungsgemeinschaft,0,0,0,0,
Schön JH,Batlogg B,Superconductivity at 52 K in hole-doped C60,Nature,0028-0836,2000,2003,28,11117735,36.235,25.814,no grants cited,no grants cited,0,0,0,0,
Schön JH,Batlogg B,A light-emitting field-effect transistor,Science,0036-8075,2000,2002,24,11062124,32.452,23.872,no grants cited,no grants cited,0,0,0,0,
Schulz S,Nyce JW,Inhibition of protein farnesyltransferase: a possible mechanism of tumor prevention by dehydroepiandrosterone sulfate.,Carcinogenesis,0143-3334,1994,1995,6,7955120,5.203,4.118,Unavailable,No access from Penn,0,0,0,0,
Schulz-Stübner S,Hata JS,A new rule for femoral nerve blocks,Reg Anesth Pain Med,1098-7339,2005,2006,9,16135352,3.479,2.595,Unavailable,article not found,0,0,0,0,
Sekler I,Kopito RR,A cluster of cytoplasmic histidine residues specifies pH dependence of the AE2 plasma membrane anion exchanger.,Cell,0092-8674,1996,1997,12,8808628,34.774,36.242,"GM38543(2154221,7) and was performed during the tenure of an Established Investigatorship of the American Heart Association","GM38543(2154221,7) and was performed during the tenure of an Established Investigatorship of the American Heart Association",307745.8571,450328.89,2154221,3152302.21,
Sezen B,Sames D,Selective and catalytic arylation of N-phenylpyrrolidine: sp3 C-H bond functionalization in the absence of a directing group,J Am Chem Soc,0002-7863,2005,2006,11,15826142,9.766,7.419,"NIGMS grants not specified, also Pfizer, GSK, Merck, Bristol-Myers-Squibb","NIGMS grants not specified, also Pfizer, GSK, Merck, Bristol-Myers-Squibb",0,0,0,0,
Sezen B,Sames D,Oxidative C-arylation of free (NH)-heterocycles via direct (sp3) C-H bond functionalization,J Am Chem Soc,0002-7863,2004,2006,17,15479077,9.766,6.903,"NIGMS grants not specified, GlaxoSmithKline, and Merck Research Laboratories. D.S. is a recipient of the AstraZeneca Excellence in Chemistry Award. B.S. is a recipient of The Arun Guthikonda Memorial Fund graduate fellowship and the Bristol-Myers Squibb graduate fellowship","NIGMS grants not specified, GlaxoSmithKline, and Merck Research Laboratories. D.S. is a recipient of the AstraZeneca Excellence in Chemistry Award. B.S. is a recipient of The Arun Guthikonda Memorial Fund graduate fellowship and the Bristol-Myers Squibb graduate fellowship",0,0,0,0,
Sezen B,Sames D,Diversity synthesis via C-H bond functionalization: concept-guided development of new C-arylation methods for imidazoles.,J Am Chem Soc,0002-7863,2003,2006,33,12940740,9.766,6.516,"GM60326(2506271,17), GlaxoSmithKline, Johnson & Johnson, and Merck. D.S. is a recipient of an Alfred P. Sloan Fellowship and the Camille Dreyfus Teacher−Scholar Award","GM60326(2506271,17), GlaxoSmithKline, Johnson & Johnson, and Merck. D.S. is a recipient of an Alfred P. Sloan Fellowship and the Camille Dreyfus Teacher−Scholar Award",147427.7059,183959.34,2506271,3127308.61,
Sezen B,Sames D,Selective C-arylation of free (NH)-heteroarenes via catalytic C-H bond functionalization.,J Am Chem Soc,0002-7863,2003,2006,37,12720429,9.766,6.516,"GM60326(2506271,17) GlaxoSmithKline, Johnson & Johnson, and Merck. D.S. is a recipient of the Alfred P. Sloan Fellowship, and the Camille Dreyfus Teacher-Scholar Award","GlaxoSmithKline, Johnson & Johnson, and Merck. D.S. is a recipient of the Alfred P. Sloan Fellowship, and the Camille Dreyfus Teacher-Scholar Award",147427.7059,183959.34,0,0,
Sezen B,Sames D,C-C bond formation via C-H bond activation: catalytic arylation and alkenylation of alkane segments.,J Am Chem Soc,0002-7863,2002,2006,43,12418875,9.766,6.201,"GM60326(2506271,17) and GlaxoSmithKline. D.S. is a recipient of the Cottrell Scholar Award of Research Corp., Alfred P. Sloan Fellowship, and the Camille Dreyfus Teacher-Scholar Award","and GlaxoSmithKline. D.S. is a recipient of the Cottrell Scholar Award of Research Corp., Alfred P. Sloan Fellowship, and the Camille Dreyfus Teacher-Scholar Award",147427.7059,188151.85,0,0,
Shao ZM,Nguyen M,p53 mutation in plasma DNA and its prognostic value in breast cancer patients,Clin Cancer Res,1078-0432,2001,2002,13,11489795,7.508,5.076,"Natural Science Foundation of China (30025015), the National Natural Science Foundation of China (39670803), Xia Li-Jun Research Foundation (Z-M. S.), and the California Breast Cancer Research Program","Natural Science Foundation of China (30025015), the National Natural Science Foundation of China (39670803), Xia Li-Jun Research Foundation (Z-M. S.), and the California Breast Cancer Research Program",0,0,0,0,
Shen H,Kruh GD,Cellular and in vitro transport of glutathione conjugates by MRP.,Biochemistry,0006-2960,1996,1997,18,8639531,3.249,4.493,"CA63173(789374,10) CA06927(143095033,1705) CA53893(4453340,19) Betz Foundation grant and an appropriation from Commonwealth of Pennsylvania and Fox Chase","CA53893(4453340,19) Betz Foundation grant and an appropriation from Commonwealth of Pennsylvania and Fox Chase",397250.4214,581302.19,4453340,6516635.72,
Shi M,Du C,DNA-PKcs-PIDDosome: a nuclear caspase-2-activating complex with role in G2/M checkpoint maintenance.,Cell,0092-8674,2009,2011,26,19203584,34.774,32.628,"CA50519(6373425,107) CA92584(42638628,280), Stowers Institute for Medical Research, Austrian Science Fund project Y212B13, EU-RTN FP07—Apoptrain, and the Tyrolean Science Fund","CA50519(6373425,107) CA92584(42638628,280), Stowers Institute for Medical Research, Austrian Science Fund project Y212B13, EU-RTN FP07—Apoptrain, and the Tyrolean Science Fund",211845.5339,226713.63,49012053,524519001,
Shin JJ,Cabello FC,Localization of BmpA on the exposed outer membrane of Borrelia burgdorferi by monospecific anti-recombinant BmpA rabbit antibodies,Infect Immun,0019-9567,2004,2008,54,15039353,4.055,4.033,"AI48856(1878937,17)","AI48856(1878937,17)",110525.7059,134335.84,1878937,2283709.17,Y
Simmons WA,Taurog JD,A new MHC locus that influences class I peptide presentation.,Immunity,1074-7613,1997,1999,23,9390688,21.094,20.563,"DK47692(924684,8) AR38319(5282223,26) AI28802(3987143,35) CA09082-20(1857104,50)","DK47692(924684,8) AR38319(5282223,26) AI28802(3987143,35) CA09082-20(1857104,50)",469808.3745,672057.21,12051154,17239082,Y
Simmons WA,Taurog JD,Novel HY peptide antigens presented by HLA-B27.,J Immunol,0022-1767,1997,1999,26,9300696,5.859,7.145,"DK47692(924684,8) AR38319(5282223,26) AI28802(3987143,35) CA09082-20(1857104,50) and a Pfizer scholarship",and a Pfizer scholarship,469808.3745,672057.21,0,0,
Simmons WA,Taurog JD,Rat MHC-linked peptide transporter alleles strongly influence peptide binding by HLA-B27 but not B27-associated inflammatory disease.,J Immunol,0022-1767,1996,1999,45,8568273,5.859,7.145,"DK47692(924684,8) AR38319(5282223,26)",,318747.9231,466428.36,0,0,Y
Simmons WA,Breban M,Sharing of an HLA-B27-restricted H-Y antigen between rat and mouse.,Immunogenetics,0093-7711,1993,2000,80,8344721,2.716,2.899,Unavailable,No access from Penn,0,0,0,0,
Smith T,DeWitt D,Arachidonic acid and nonsteroidal anti-inflammatory drugs induce conformational changes in the human prostaglandin endoperoxide H2 synthase-2 (cyclooxygenase-2),J Biol Chem,0021-9258,2000,2004,38,11006278,5.117,7.368,"GM57323(4416016,32)","GM57323(4416016,32)",138000.5,183995.86,4416016,5887867.47,Y
Sperber K,Kraus T,Induction of apoptosis by HIV-1-infected monocytic cells,J Immunol,0022-1767,2003,2005,34,12538722,5.859,6.702,"AI45343(1755991,11) MH59724(19951556,84) AI45996(1403395,7) CA94108(2350319,31) AI44236(16256292,100) RR09145(249000,157) and the National Science Foundation Major Research Instrumentation Grant DB1-9724504","AI45343(1755991,11) MH59724(19951556,84) AI45996(1403395,7) CA94108(2350319,31) AI44236(16256292,100) RR09145(249000,157) and the National Science Foundation Major Research Instrumentation Grant DB1-9724504",837604.7185,1045157.71,41966553,52365591,
Stevenson M,Potti A,Characterizing the clinical relevance of an embryonic stem cell phenotype in lung adenocarcinoma.,Clin Cancer Res,1078-0432,2009,2012,27,19996213,7.508,6.768,"NCI, but no grant numbers given","NCI, but no grant numbers given",0,0,0,0,
Sticklen MB.,,Plant genetic engineering for biofuel production: towards affordable cellulosic ethanol.,Nat Rev Genet,1471-0056,2008,2010,22,18487988,31.359,22.381,no grants cited,no grants cited,0,0,0,0,
Sud N,Black SM,Caveolin 1 is required for the activation of endothelial nitric oxide synthase in response to 17beta-estradiol.,Mol Endocrinol,0888-8809,2010,2011,6,20610538,4.816,5.224,"HL60190(1659345,94) HL67841(2586620,81) HL084739(1494069,24) HD057406(423024,26) F32HL090198(52898,18) HL097153(171306,3) and grant 0550133Z from the American Heart Association and an AHA postdoctoral fellowship","HL60190(1659345,94) HL67841(2586620,81) HL084739(1494069,24) HD057406(423024,26) F32HL090198(52898,18) HL097153(171306,3) and grant 0550133Z from the American Heart Association and an AHA postdoctoral fellowship",188149.9933,198105.57,6387262,6725231.28,
Sud N,Black SM,Protein kinase Cdelta regulates endothelial nitric oxide synthase expression via Akt activation and nitric oxide generation.,Am J Physiol Lung Cell Mol Physiol,1040-0605,2008,2011,45,18192589,4.29,4.061,"HL60190(1659345,94) HL67841(2589220,81) HL72123(1137859,50) HL70061(1559111,54) and Fondation Leducq","HL72123(1137859,50) HL70061(1559111,54) and Fondation Leducq",101247.8913,107968.34,2696970,2875984.68,
Sullivan JC,Agah A,Elevated expression of isopeptide bond cross-links contributes to fibrosis in scleroderma and the healing wounds of tight skin mice.,Wound Repair Regen,1067-1927,2008,2010,24,19128265,2.911,2.556,no grants cited,no grants cited,0,0,0,0,
Sun MF,Gailani D,Defective binding of factor XI-N248 to activated human platelets,Blood,0006-4971,2001,2007,77,11418471,9.785,9.273,"HL58837(5079528,45) HL02917(413811,13) HL46213(7678684,77) HL56153(1034026,24) HL56914(5694995,49)","HL58837(5079528,45) HL02917(413811,13) HL56153(1034026,24)",403741.9886,523414.67,6527365,8462133.48,Y
Sun W,Chantler PD,Cloning of the cDNA encoding a neuronal myosin heavy chain from mammalian brain and its differential expression within the central nervous system.,J Mol Biol,0022-2836,1992,1997,61,1569576,3.981,5.501,"AR32858(490957,5) and Muscular Dystrophy Association of America","AR32858(490957,5) and Muscular Dystrophy Association of America",98191.4,160685.36,490957,803426.81,
Sun X,Tian TX,Effect of burn injury on glucocorticoid receptor binding activity in rat muscle,J Surg Res,0022-4804,2004,2004,9,15013361,2.202,1.727,Grant #8700 from the Shriners Hospitals of North America,Grant #8700 from the Shriners Hospitals of North America,0,0,0,0,
Sun X,TiaX TZ,Sepsis induces the transcription of the glucocorticoid receptor in skeletal muscle cells,Clin Sci (Lond),0143-5221,2003,2004,15,12797863,4.181,2.117,grant #8700 from the Shriners Hospitals of North America,grant #8700 from the Shriners Hospitals of North America,0,0,0,0,
Tanaka K,Yamada Y,"A Krüppel-associated box-zinc finger protein, NT2, represses cell-type-specific promoter activity of the alpha 2(XI) collagen gene",Mol Cell Biol,0270-7306,2002,2009,53,12024037,5.766,8.84,"NIH intramural funds; a Health Science Research Grant for Research on Human Genome, Tissue Engineering, and Food Biotechnology from the Ministry of Health, Labour, and Welfare, Japan; and a grant from the Japan Orthopaedics and Traumatology Foundation (no. 0116)","NIH intramural funds; a Health Science Research Grant for Research on Human Genome, Tissue Engineering, and Food Biotechnology from the Ministry of Health, Labour, and Welfare, Japan; and a grant from the Japan Orthopaedics and Traumatology Foundation (no. 0116)",0,0,0,0,
Tchernof A,Després JP,"Body fat distribution, the menopause transition, and hormone replacement therapy",Diabetes Metab,0338-1684,2000,2006,76,10705099,3.373,1.464,Unavailable,could not access full article,0,0,0,0,
